user_message,bot_response,label,language,user_topic,bot_topic
ఈ ఆర్డర్ రద్దు చేయాలి.,ఆర్డర్ ఇంకా ప్యాక్ కాలేదు కాబట్టి విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation
రిటర్న్ పికప్ ఎప్పుడు ఉంటుంది?,పికప్ వచ్చే 2 రోజుల్లో షెడ్యూల్ అవుతుంది మరియు మీకు సందేశం వస్తుంది.,CORRECT,telugu,refund,refund
"నా రిఫండ్ ఇంకా రాలేదు, ఎప్పుడు వస్తుంది చివరికి?",మీ ఆర్డర్ రేపటికి డెలివరీ అవుతుంది.,INTENT_MISMATCH,telugu,refund,delivery
3 రోజులు అయింది ఇంకా ఆర్డర్ షిప్ కూడా కాలేదు!,చెల్లింపు విఫలమైతే మొత్తం ఆటోమేటిక్‌గా తిరిగి వస్తుంది.,INTENT_MISMATCH,telugu,delivery,payment
"నేను అకౌంట్‌లో లాగిన్ అవ్వలేకపోతున్నాను, ఎంత చెత్త యాప్ ఇది!",ఈ ఉత్పత్తి ప్రస్తుతం స్టాక్‌లో అందుబాటులో ఉంది.,INTENT_MISMATCH,telugu,account,product
రెండు సార్లు డబ్బు కట్ అయ్యాయి కానీ ఎలాంటి స్పందన లేదు!,మీ చిరునామాను అకౌంట్ సెట్టింగ్స్‌లో మార్చుకోవచ్చు.,INTENT_MISMATCH,telugu,payment,account
"నేను ఆర్డర్ రద్దు చేశాను కానీ ఇంకా పంపించారు, ఇది ఏమిటి?",మీ రిఫండ్ 5 పని రోజులలో ప్రాసెస్ అవుతుంది.,INTENT_MISMATCH,telugu,cancellation,refund
వచ్చిన ఉత్పత్తి పూర్తిగా తప్పుగా ఉంది!,మీ పార్సెల్ ప్రస్తుతం సమీప హబ్‌లో ఉంది.,INTENT_MISMATCH,telugu,product,delivery
"రిఫండ్ మొత్తం పూర్తిగా రాలేదు, ఇది మోసమా?",మీరు ఆర్డర్ రద్దు చేసి మళ్లీ ఆర్డర్ చేయవచ్చు.,INTENT_MISMATCH,telugu,refund,cancellation
"డెలివరీ తేదీ మళ్లీ మళ్లీ మారుతోంది, ఇంకా ఎంత వేచి చూడాలి?",మీ అకౌంట్ విజయవంతంగా ధృవీకరించబడింది.,INTENT_MISMATCH,telugu,delivery,account
"నా రిఫండ్ ఇంకా ప్రాసెస్ కాలేదు, చాలా ఇబ్బందిగా ఉంది.","క్షమించండి, మీ రిఫండ్ ప్రారంభించబడింది మరియు 3-5 రోజుల్లో జమ అవుతుంది.",CORRECT,telugu,refund,refund
ఆర్డర్ డెలివరీ తేదీ దాటిపోయింది కానీ ఇంకా రాలేదు.,"క్షమించండి, మీ పార్సెల్ రవాణాలో ఉంది మరియు రేపటికి చేరుతుంది.",CORRECT,telugu,delivery,delivery
చెల్లింపు విజయవంతమైంది కానీ ఆర్డర్ నిర్ధారణ కాలేదు.,ఆర్డర్ సృష్టించబడకపోతే మొత్తం ఆటోమేటిక్‌గా తిరిగి వస్తుంది.,CORRECT,telugu,payment,payment
నేను పాస్‌వర్డ్ రీసెట్ చేస్తున్నాను కానీ ఓటీపీ రావడం లేదు.,మీ మొబైల్ నంబర్ సక్రియంగా ఉందో చూసి మళ్లీ ఓటీపీ పంపించండి.,CORRECT,telugu,account,account
"నాకు దెబ్బతిన్న ఉత్పత్తి వచ్చింది, చాలా నిరాశగా ఉంది.",మీరు రీప్లేస్‌మెంట్ లేదా రిటర్న్ అభ్యర్థన పెట్టవచ్చు.,CORRECT,telugu,product,product
"ఇప్పుడు నాకు ఈ ఆర్డర్ వద్దు, వెంటనే రద్దు చేయండి.",ఆర్డర్ ఇంకా పంపించలేదు కాబట్టి విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation
రిటర్న్ పికప్ ఎప్పుడు ఉంటుంది? ప్రతిరోజూ ఎదురు చూస్తున్నాను.,పికప్ వచ్చే 24-48 గంటల్లో షెడ్యూల్ అవుతుంది మరియు మీకు సందేశం వస్తుంది.,CORRECT,telugu,refund,refund
రిఫండ్ వచ్చిందా,మీ ఆర్డర్ రేపటికి చేరుతుంది.,INTENT_MISMATCH,telugu,refund,delivery
ఆర్డర్ ఎక్కడుంది,చెల్లింపు విఫలమైతే డబ్బు తిరిగి వస్తుంది.,INTENT_MISMATCH,telugu,delivery,payment
డబ్బులు కట్ అయ్యాయి,మీ పాస్‌వర్డ్ మార్చి మళ్లీ లాగిన్ అవ్వండి.,INTENT_MISMATCH,telugu,payment,account
లాగిన్ అవ్వడం లేదు,ఈ ఉత్పత్తి ప్రస్తుతం అందుబాటులో ఉంది.,INTENT_MISMATCH,telugu,account,product
క్యాన్సిల్ చేయాలి,రిఫండ్ ప్రక్రియ ఇప్పటికే ప్రారంభమైంది.,INTENT_MISMATCH,telugu,cancellation,refund
తప్పు వస్తువు వచ్చింది,మీ పార్సెల్ డెలివరీకి బయలుదేరింది.,INTENT_MISMATCH,telugu,product,delivery
రిఫండ్ సగమే వచ్చింది,ఆర్డర్ విజయవంతంగా రద్దు చేయబడింది.,INTENT_MISMATCH,telugu,refund,cancellation
రిఫండ్ ఎప్పటికి,రిఫండ్ 3-5 పని రోజులలో వస్తుంది.,CORRECT,telugu,refund,refund
పార్సెల్ ఇంకా రాలేదు,"క్షమించండి, పార్సెల్ రవాణాలో ఉంది.",CORRECT,telugu,delivery,delivery
యూపీఐ ఫెయిల్ డబ్బులు కట్ అయ్యాయి,ఆర్డర్ లేకపోతే మొత్తం తిరిగి జమ అవుతుంది.,CORRECT,telugu,payment,payment
ఓటీపీ రావడం లేదు,దయచేసి ఓటీపీ మళ్లీ పంపించండి లేదా కొంతసేపటి తర్వాత ప్రయత్నించండి.,CORRECT,telugu,account,account
తప్పు సైజ్ పంపించారు,మీరు రీప్లేస్‌మెంట్ అభ్యర్థన పెట్టవచ్చు.,CORRECT,telugu,product,product
ఆర్డర్ క్యాన్సిల్ చేయండి,మీ ఆర్డర్ విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation
రిటర్న్ పికప్ ఎప్పుడు,పికప్ 2 రోజుల్లో షెడ్యూల్ అవుతుంది.,CORRECT,telugu,refund,refund
డెలివరీ లేట్ అవుతోంది,పార్సెల్ సమీప హబ్‌లో ఉంది మరియు త్వరలో చేరుతుంది.,CORRECT,telugu,delivery,delivery
Refund request petta kani amount inka raledu.,Mee return pickup already schedule ayyindi.,INTENT_MISMATCH,tinglish,refund,cancellation
Delivery address tappuga update ayyindi ippudu em cheyyali?,Meeru order cancel chesi malli place cheyochu.,INTENT_MISMATCH,tinglish,delivery,cancellation
Payment successful ani chupistundi kani confirmation raledu.,Mee email inbox mariyu spam folder check cheyyandi.,INTENT_MISMATCH,tinglish,payment,account
Na account temporary ga block ayyindi.,Password reset link mee registered mail ki pampincham.,INTENT_MISMATCH,tinglish,account,account
Wrong size product vachindi.,Product damage ayite replacement request raise cheyyachu.,INTENT_MISMATCH,tinglish,product,refund
Order cancel chesa kani still ship ayyindi.,Mee parcel transit lo undi tondaralo reach avtundi.,INTENT_MISMATCH,tinglish,cancellation,delivery
Refund amount full ga raledu.,Mee refund successful ga process chesam.,INTENT_MISMATCH,tinglish,refund,refund
UPI payment rendu sarlu deduct ayyindi.,"Oka payment automatic ga reverse avtundi, order status kuda check cheyyandi.",INTENT_MISMATCH,tinglish,payment,delivery
Na refund status enti?,"Refund approve ayyindi, 5 working days lo account lo padtundi.",CORRECT,tinglish,refund,refund
Order inka deliver avvaledu.,"Sorry for delay, parcel nearest hub lo undi repatiki reach avtundi.",CORRECT,tinglish,delivery,delivery
Payment fail ayyindi kani money deduct ayyayi.,Order create kakapothe amount automatic ga reverse avtundi.,CORRECT,tinglish,payment,payment
Na account login avvatledu.,Forgot Password option use chesi password reset cheyyandi.,CORRECT,tinglish,account,account
Damaged product vachindi.,Meeru replacement leka return request raise cheyyachu.,CORRECT,tinglish,product,product
Ee order cancel cheyyali.,Order inka packed kaaledu kabatti successful ga cancel ayyindi.,CORRECT,tinglish,cancellation,cancellation
Return pickup eppudu untundi?,Pickup next 2 rojullo schedule avtundi mariyu SMS update vastundi.,CORRECT,tinglish,refund,refund
Na refund inka raledu asalu eppudu vastundi?,Mee order repatiki delivery avtundi sir.,INTENT_MISMATCH,tinglish,refund,delivery
3 rojulu ayyindi order inka ship kuda kaaledu!,Payment fail ayite amount automatic ga reverse avtundi.,INTENT_MISMATCH,tinglish,delivery,payment
Na account login avvatledu idi entha worst app ra!,Ee product ippudu stock lo available undi.,INTENT_MISMATCH,tinglish,account,product
Rendu sarlu money deduct ayyayi kani reply evvaru ivvatledu!,Meeru address ni account settings lo update cheskovachu.,INTENT_MISMATCH,tinglish,payment,account
Order cancel chesa kani malli ship chesaru idi enti?,Mee refund 5 working days lo process avtundi.,INTENT_MISMATCH,tinglish,cancellation,refund
Vachina product totally wrong undi!,Mee parcel nearest hub lo undi.,INTENT_MISMATCH,tinglish,product,delivery
Refund amount full ga raledu idi scam aa?,Meeru order cancel chesi malli place cheyochu.,INTENT_MISMATCH,tinglish,refund,cancellation
Delivery date malli malli change avtundi inkentha wait cheyyali?,Mee account successful ga verify ayyindi.,INTENT_MISMATCH,tinglish,delivery,account
Na refund inka process kaaledu chala irritating ga undi.,"Sorry for delay, refund initiate ayyindi mariyu 3-5 rojullo credit avtundi.",CORRECT,tinglish,refund,refund
Expected date ayipoyindi kani order inka raledu.,"Sorry sir, parcel transit lo undi repatiki reach avtundi.",CORRECT,tinglish,delivery,delivery
Payment successful kani order confirm kaaledu.,Order create kakapothe amount automatic ga reverse avtundi.,CORRECT,tinglish,payment,payment
Password reset chestunna kani OTP raavatledu.,Mee registered mobile active ga undho check chesi OTP resend cheyyandi.,CORRECT,tinglish,account,account
Naaku damaged product vachindi chala bad experience.,Meeru replacement leka return request raise cheyyachu.,CORRECT,tinglish,product,product
Ippudu naku ee order vaddu immediate ga cancel cheyyandi.,Order inka ship kaaledu kabatti successful ga cancel ayyindi.,CORRECT,tinglish,cancellation,cancellation
Return pickup eppudu untundi roju wait chestunna.,Pickup next 24-48 hours lo schedule avtundi mariyu SMS update vastundi.,CORRECT,tinglish,refund,refund
refund vachinda,Mee order repatiki reach avtundi.,INTENT_MISMATCH,tinglish,refund,delivery
order ekkada undi,Payment fail ayite amount reverse avtundi.,INTENT_MISMATCH,tinglish,delivery,payment
money cut ayyayi,Mee password reset chesi malli login avvandi.,INTENT_MISMATCH,tinglish,payment,account
login avvatledu,Ee product ippudu available lo undi.,INTENT_MISMATCH,tinglish,account,product
cancel cheyyali,Refund process already start ayyindi.,INTENT_MISMATCH,tinglish,cancellation,refund
wrong item vachindi,Mee parcel out for delivery undi.,INTENT_MISMATCH,tinglish,product,delivery
refund half vachindi,Order successful ga cancel ayyindi.,INTENT_MISMATCH,tinglish,refund,cancellation
refund eppudu,Refund 3-5 working days lo padtundi.,CORRECT,tinglish,refund,refund
parcel inka raledu,Sorry delay undi parcel transit lo undi.,CORRECT,tinglish,delivery,delivery
upi fail money cut,Order create kakapothe amount reverse avtundi.,CORRECT,tinglish,payment,payment
otp raavatledu,OTP resend cheyyandi leka konchem tarvata try cheyyandi.,CORRECT,tinglish,account,account
wrong size pampincharu,Meeru replacement request raise cheyyachu.,CORRECT,tinglish,product,product
order cancel cheyyi,Mee order successful ga cancel ayyindi.,CORRECT,tinglish,cancellation,cancellation
return pickup eppudu,Pickup 2 rojullo schedule avtundi.,CORRECT,tinglish,refund,refund
delivery late ra,Parcel nearest hub lo undi tondaralo vastundi.,CORRECT,tinglish,delivery,delivery
நான் பணத்திருப்பு கேட்டேன் ஆனால் இன்னும் பணம் வரவில்லை.,உங்கள் ரிட்டர்ன் பிக்கப் ஏற்கனவே திட்டமிடப்பட்டுள்ளது.,INTENT_MISMATCH,tamil,refund,cancellation
"டெலிவரி முகவரி தவறாக மாற்றப்பட்டுள்ளது, இப்போது என்ன செய்வது?",நீங்கள் ஆர்டரை ரத்து செய்து புதியதாக ஆர்டர் செய்யலாம்.,INTENT_MISMATCH,tamil,delivery,cancellation
பணம் வெற்றிகரமாக சென்றது என்று காட்டுகிறது ஆனால் உறுதிப்படுத்தல் வரவில்லை.,தயவுசெய்து உங்கள் மின்னஞ்சல் மற்றும் ஸ்பாம் கோப்புறையை பார்க்கவும்.,INTENT_MISMATCH,tamil,payment,account
என் கணக்கு தற்காலிகமாக முடக்கப்பட்டுள்ளது.,கடவுச்சொல் மாற்ற இணைப்பு உங்கள் மின்னஞ்சலுக்கு அனுப்பப்பட்டுள்ளது.,INTENT_MISMATCH,tamil,account,account
எனக்கு தவறான அளவிலான தயாரிப்பு வந்துள்ளது.,தயாரிப்பு சேதமடைந்திருந்தால் மாற்ற கோரிக்கை செய்யலாம்.,INTENT_MISMATCH,tamil,product,refund
நான் ஆர்டரை ரத்து செய்தேன் ஆனால் அது இன்னும் அனுப்பப்பட்டுள்ளது.,உங்கள் பார்சல் தற்போது வழியில் உள்ளது மற்றும் விரைவில் வரும்.,INTENT_MISMATCH,tamil,cancellation,delivery
எனக்கு கிடைத்த பணத்திருப்பு முழுமையாக இல்லை.,உங்கள் பணத்திருப்பு வெற்றிகரமாக செயலாக்கப்பட்டது.,INTENT_MISMATCH,tamil,refund,refund
யூபிஐ மூலம் இரண்டு முறை பணம் கழிக்கப்பட்டது.,"ஒரு தொகை தானாக திரும்ப வரும், ஆர்டர் நிலையும் சரிபார்க்கலாம்.",INTENT_MISMATCH,tamil,payment,delivery
என் பணத்திருப்பு நிலை என்ன?,உங்கள் பணத்திருப்பு ஒப்புதல் பெறப்பட்டுள்ளது மற்றும் 5 வேலை நாட்களில் கிடைக்கும்.,CORRECT,tamil,refund,refund
என் ஆர்டர் இன்னும் டெலிவரி ஆகவில்லை.,"தாமதத்திற்கு மன்னிக்கவும், உங்கள் பார்சல் அருகிலுள்ள மையத்தில் உள்ளது மற்றும் நாளைக்குள் வரும்.",CORRECT,tamil,delivery,delivery
பணம் செலுத்துதல் தோல்வியடைந்தது ஆனால் பணம் கழிக்கப்பட்டது.,ஆர்டர் உருவாகவில்லை என்றால் தொகை தானாக திரும்ப வழங்கப்படும்.,CORRECT,tamil,payment,payment
என்னால் கணக்கில் உள்நுழைய முடியவில்லை.,'கடவுச்சொல் மறந்துவிட்டதா' என்பதை பயன்படுத்தி கடவுச்சொல்லை மாற்றவும்.,CORRECT,tamil,account,account
எனக்கு சேதமடைந்த தயாரிப்பு வந்துள்ளது.,நீங்கள் மாற்றம் அல்லது ரிட்டர்ன் கோரிக்கை செய்யலாம்.,CORRECT,tamil,product,product
இந்த ஆர்டரை ரத்து செய்ய வேண்டும்.,"ஆர்டர் இன்னும் பேக் செய்யப்படவில்லை, அதனால் வெற்றிகரமாக ரத்து செய்யப்பட்டது.",CORRECT,tamil,cancellation,cancellation
ரிட்டர்ன் பிக்கப் எப்போது வரும்?,பிக்கப் அடுத்த 2 நாட்களில் திட்டமிடப்படும் மற்றும் உங்களுக்கு குறுஞ்செய்தி வரும்.,CORRECT,tamil,refund,refund
"என் பணத்திருப்பு இன்னும் வரவில்லை, எவ்வளவு நேரம் ஆகும்?",உங்கள் ஆர்டர் நாளைக்குள் டெலிவரி ஆகும்.,INTENT_MISMATCH,tamil,refund,delivery
"3 நாட்கள் ஆகிவிட்டது, இன்னும் ஆர்டர் அனுப்பவே இல்லை!",பணம் செலுத்துதல் தோல்வியடைந்தால் தொகை தானாக திரும்ப வரும்.,INTENT_MISMATCH,tamil,delivery,payment
"என்னால் கணக்கில் உள்நுழைய முடியவில்லை, இது என்ன மோசமான செயலி!",இந்த தயாரிப்பு தற்போது கையிருப்பில் உள்ளது.,INTENT_MISMATCH,tamil,account,product
"என் பணம் இரண்டு முறை கழிக்கப்பட்டது, யாரும் பதில் தரவில்லை!",உங்கள் முகவரியை கணக்கு அமைப்புகளில் மாற்றலாம்.,INTENT_MISMATCH,tamil,payment,account
நான் ஆர்டரை ரத்து செய்தேன் ஆனால் இன்னும் அனுப்பிவிட்டீர்கள்!,உங்கள் பணத்திருப்பு 5 வேலை நாட்களில் செயலாக்கப்படும்.,INTENT_MISMATCH,tamil,cancellation,refund
எனக்கு வந்த தயாரிப்பு முற்றிலும் தவறானது!,உங்கள் பார்சல் தற்போது அருகிலுள்ள மையத்தில் உள்ளது.,INTENT_MISMATCH,tamil,product,delivery
"எனக்கு முழு பணத்திருப்பும் வரவில்லை, இது என்ன மோசடி?",நீங்கள் ஆர்டரை ரத்து செய்து மறுபடியும் ஆர்டர் செய்யலாம்.,INTENT_MISMATCH,tamil,refund,cancellation
"டெலிவரி தேதி மீண்டும் மீண்டும் மாறிக்கொண்டே இருக்கிறது, இன்னும் எவ்வளவு காத்திருக்க வேண்டும்?",உங்கள் கணக்கு வெற்றிகரமாக சரிபார்க்கப்பட்டுள்ளது.,INTENT_MISMATCH,tamil,delivery,account
"என் பணத்திருப்பு இன்னும் செயல்படுத்தப்படவில்லை, மிகவும் எரிச்சலாக இருக்கிறது.","தாமதத்திற்கு மன்னிக்கவும், உங்கள் பணத்திருப்பு தொடங்கப்பட்டுள்ளது மற்றும் 3-5 நாட்களில் கிடைக்கும்.",CORRECT,tamil,refund,refund
டெலிவரி தேதி கடந்துவிட்டது ஆனால் ஆர்டர் இன்னும் வரவில்லை.,"மன்னிக்கவும், உங்கள் பார்சல் வழியில் உள்ளது மற்றும் நாளைக்குள் வரும்.",CORRECT,tamil,delivery,delivery
பணம் வெற்றிகரமாக சென்றது ஆனால் ஆர்டர் உறுதிப்படுத்தப்படவில்லை.,ஆர்டர் உருவாகவில்லை என்றால் தொகை தானாக திரும்ப வழங்கப்படும்.,CORRECT,tamil,payment,payment
நான் கடவுச்சொல்லை மாற்ற முயற்சிக்கிறேன் ஆனால் OTP வரவில்லை.,உங்கள் மொபைல் எண் செயல்பாட்டில் உள்ளதா என்று பார்த்து OTP மீண்டும் அனுப்பவும்.,CORRECT,tamil,account,account
"எனக்கு சேதமடைந்த தயாரிப்பு வந்துள்ளது, இது மிகவும் ஏமாற்றமாக உள்ளது.",நீங்கள் மாற்றம் அல்லது ரிட்டர்ன் கோரிக்கை செய்யலாம்.,CORRECT,tamil,product,product
"இப்போது இந்த ஆர்டர் வேண்டாம், உடனே ரத்து செய்யுங்கள்.","ஆர்டர் இன்னும் அனுப்பப்படவில்லை, அதனால் வெற்றிகரமாக ரத்து செய்யப்பட்டது.",CORRECT,tamil,cancellation,cancellation
ரிட்டர்ன் பிக்கப் எப்போது வரும்? தினமும் காத்திருக்கிறேன்.,பிக்கப் அடுத்த 24-48 மணி நேரத்தில் திட்டமிடப்படும் மற்றும் உங்களுக்கு குறுஞ்செய்தி வரும்.,CORRECT,tamil,refund,refund
ரிபண்ட் வந்துச்சா,உங்கள் ஆர்டர் நாளைக்கு வந்து சேரும்.,INTENT_MISMATCH,tamil,refund,delivery
ஆர்டர் எங்க,பணம் செலுத்துதல் தோல்வியடைந்தால் தொகை திரும்ப வரும்.,INTENT_MISMATCH,tamil,delivery,payment
பணம் கட் ஆயிடுச்சு,கடவுச்சொல்லை மாற்றி மீண்டும் உள்நுழையுங்கள்.,INTENT_MISMATCH,tamil,payment,account
லாகின் ஆகல,இந்த தயாரிப்பு தற்போது கிடைக்கிறது.,INTENT_MISMATCH,tamil,account,product
கேன்சல் பண்ணணும்,பணத்திருப்பு செயல்முறை ஏற்கனவே தொடங்கியுள்ளது.,INTENT_MISMATCH,tamil,cancellation,refund
தவறான பொருள் வந்துருக்கு,உங்கள் பார்சல் டெலிவரிக்காக கிளம்பியுள்ளது.,INTENT_MISMATCH,tamil,product,delivery
ரிபண்ட் பாதிதான் வந்தது,உங்கள் ஆர்டர் வெற்றிகரமாக ரத்து செய்யப்பட்டது.,INTENT_MISMATCH,tamil,refund,cancellation
ரிபண்ட் எப்போ,பணத்திருப்பு 3-5 வேலை நாட்களில் கிடைக்கும்.,CORRECT,tamil,refund,refund
பார்சல் இன்னும் வரல,"தாமதத்திற்கு மன்னிக்கவும், பார்சல் இன்னும் வழியில் உள்ளது.",CORRECT,tamil,delivery,delivery
யுபிஐ ஃபெயில் பணம் கட்,ஆர்டர் உருவாகவில்லை என்றால் தொகை திரும்ப வரும்.,CORRECT,tamil,payment,payment
ஓடிபி வரல,தயவுசெய்து ஓடிபியை மீண்டும் அனுப்புங்கள் அல்லது பிறகு முயற்சிக்கவும்.,CORRECT,tamil,account,account
தவறான சைஸ் அனுப்பிட்டாங்க,நீங்கள் மாற்ற கோரிக்கை பதிவு செய்யலாம்.,CORRECT,tamil,product,product
ஆர்டர் கேன்சல் பண்ணு,உங்கள் ஆர்டர் வெற்றிகரமாக ரத்து செய்யப்பட்டது.,CORRECT,tamil,cancellation,cancellation
ரிட்டர்ன் பிக்கப் எப்போ,பிக்கப் 2 நாட்களில் திட்டமிடப்படும்.,CORRECT,tamil,refund,refund
டெலிவரி ரொம்ப லேட்,உங்கள் பார்சல் அருகிலுள்ள மையத்தில் உள்ளது மற்றும் விரைவில் வரும்.,CORRECT,tamil,delivery,delivery
arrey yr account lock ho gaya hai wrong pin enter ho gaya tha bar bar,"Security reasons se account 24 hours ke liye lock ho jata hai, aap Forgot PIN click karke reset kar sakte ho.",CORRECT,hinglish,account,account
please stop this shipment i double ordered by mistake cancel it right away,Your package has been handed over to BlueDart and will reach you within 2-3 business days.,INTENT_MISMATCH,english,cancellation,delivery
bhai deliver parcel balcony me rakh dena ground floor band hoga tab tak,"Aapka order OTP verify karne ke baad hi handed over mark hoga, door key in hand required.",INTENT_MISMATCH,hinglish,delivery,delivery
I was charged twice via Net Banking for single order #40921,"Duplicate charge detected for order #40921. The extra amount of Rs 1,850 will be auto-reversed to your bank in 3 days.",CORRECT,english,payment,payment
kya is fast charger me Type-C to Type-C cable inside box milta h?,"Ji ha, retail box me 65W power adapter ke saath 1-meter Type-C to Type-C cable included rehta hai.",CORRECT,hinglish,product,product
where is my return credit? item pickup happened 4 days back,You can update your communication preferences under Account Settings > Email Notifications.,INTENT_MISMATCH,english,refund,account
profile photo update kyu nahi ho raha profile edit wale page pe?,Aap Credit Card ya UPI se payment complete kar sakte hain checkout page par.,INTENT_MISMATCH,hinglish,account,payment
I want to revoke my cancellation request and keep the item instead,"Since the shipment has not left the hub yet, we have restored order status to active.",CORRECT,english,cancellation,cancellation
delivery address change karna h flat 301 ke jagah flat 504 kar do urgent,Aapka item out for delivery hai aur 6 PM tak aapke standard home address par aa jayega.,INTENT_MISMATCH,hinglish,delivery,delivery
"Why is COD disabled on my total cart value of Rs 8,500?",Cash on Delivery is available for all orders regardless of cart total.,INTENT_MISMATCH,english,payment,payment
is shoes ka size fit regular h ya narrow toe box hai?,"Is model ka fit regular to wide hai, true-to-size standard Indian sizing me order karein.",CORRECT,hinglish,product,product
Can I get my refund credited directly back to original ICICI credit card?,"Yes, all refunds are by default credited to the original payment source (ICICI Credit Card).",CORRECT,english,refund,refund
phone number change karne ke liye otp purane no pe hi ja raha hai kya karein,Order cancel karne ke liye My Orders me jaakar cancel button press kar dein.,INTENT_MISMATCH,hinglish,account,cancellation
Can someone stop shipment for order #88219 before courier takes it?,This bluetooth headset comes with 10mm dynamic drivers and up to 30 hours total playback.,INTENT_MISMATCH,english,cancellation,product
tracking status showing delayed due to rain in mumbai area,"Local weather update ki wajah se transit 24 hours delay hua hai, revised ETA kal shaam 5 PM tak hai.",CORRECT,hinglish,delivery,delivery
My payment failed twice but money got debited from my HDFC bank account,"If payment was debited during failure, the amount will be refunded to your HDFC account in 3-5 business days.",CORRECT,english,payment,payment
kya is smart watch me calling feature enabled hai phone connects bina?,"Ji ha, isme full standalone 5G SIM card support milta hai bina phone connection ke.",INTENT_MISMATCH,hinglish,product,product
"I only got Rs 350 back on a Rs 1,200 return item, why deductions?","Your full refund of Rs 1,200 has been credited back to your account without any deductions.",INTENT_MISMATCH,english,refund,refund
"deactivate karna h account completely, how to delete data?",Account delete karne ke liye Settings > Account Security > Request Data Erasure & Deactivation par jayein.,CORRECT,hinglish,account,account
Is there a cancellation fee if I drop order within 1 hour of placing?,No fee! Cancellation is 100% free if done before the order gets packed or dispatched.,CORRECT,english,cancellation,cancellation
courier partner order status marked delivered but i didnt get anything in hand,Refund process initiation ke 5-7 working days baad aapke bank statement me reflect hota hai.,INTENT_MISMATCH,hinglish,delivery,refund
Can I use multiple gift vouchers together in single payment transaction?,Your cancellation request has been successfully processed for item #1920.,INTENT_MISMATCH,english,payment,cancellation
ye leather jacket real leather h ya faux leather material h?,"Ye high quality synthetic faux leather se bana hai, 100% cruelty-free materials hai.",CORRECT,hinglish,product,product
"I rejected delivery at doorstep, when will refund process start?","Once the rejected parcel updates as 'Returning to Merchant' in courier tracking, refund will trigger automatically.",CORRECT,english,refund,refund
email verify nahi ho raha verification link broken dikha raha hai,Aapka email address successfully verify aur update kar diya gaya hai.,INTENT_MISMATCH,hinglish,account,account
Why isn't the cancel order button active for order #33190?,Order #33190 was cancelled yesterday as requested.,INTENT_MISMATCH,english,cancellation,cancellation
kya delivery agent call karke aayega address reach hone pe?,"Ji ha, delivery partner dispatch zone me reach hote hi aapko registered mobile no. par call karega.",CORRECT,hinglish,delivery,delivery
Do you accept international Visa/Mastercard credit cards at checkout?,We currently accept all major Indian credit cards and international cards with 3D secure authentication.,CORRECT,english,payment,payment
bhai product ka color actual image se completely difference kyu h?,Aapka order expected timeframe ke anusar 15 Sept tak deliver ho jayega.,INTENT_MISMATCH,hinglish,product,delivery
where do I enter my bank NEFT details for receiving return refund?,This laptop comes with an AMD Ryzen 5 processor and 16GB DDR5 RAM.,INTENT_MISMATCH,english,refund,product
bhai mera profile edit page freeze ho rha h submit click krne pr,"Browser clear cache karke re-login karein ya app update check karein, issue resolve ho jayega.",CORRECT,hinglish,account,account
please abort order #77120 right now before dispatch team packs it,"We accept major credit cards, Net Banking, and UPI options at checkout.",INTENT_MISMATCH,english,cancellation,payment
"parcel tracking dikha raha delayed by 3 days, expected date kya thi waise?",Aapka parcel successfully deliver ho chuka hai 2 hours pehle.,INTENT_MISMATCH,hinglish,delivery,delivery
Why was my card declined during checkout despite having sufficient limit?,Card declines can occur due to international transaction limits or bank OTP timeouts. Please try re-entering card details or use UPI.,CORRECT,english,payment,payment
kya ye noise cancelling headphones bluetooth 5.3 support karte hain?,"Haan, is model me latest Bluetooth 5.3 dual connection support available hai.",CORRECT,hinglish,product,product
"my returned shoes reached warehouse yesterday, when will cash land in bank?",These running shoes feature breathable mesh upper and memory foam insoles.,INTENT_MISMATCH,english,refund,product
mera mobile number change karna h existing account me,Aapka account completely delete kar diya gaya hai hamare records se.,INTENT_MISMATCH,hinglish,account,account
Can I cancel just item #2 out of the 3 items in my shipment?,"Yes, go to My Orders > Order Details, select item #2 and click 'Cancel Selected Item'.",CORRECT,english,cancellation,cancellation
"delivery guy ko mera location nahi mil raha, landmark add kar skte h?",Aap My Orders me 'Update Delivery Notes' par click karke exact landmark add kar sakte hain.,CORRECT,hinglish,delivery,delivery
Is there any convenience fee charged for paying via wallet?,A flat delivery fee of Rs 50 applies to all orders under Rs 499.,INTENT_MISMATCH,english,payment,payment
is cotton shirt me washing machine run chalega ya dry clean only?,Aapka registered mobile number successfully update kar diya gaya hai.,INTENT_MISMATCH,hinglish,product,account
"I received partial refund for missing item, when will remaining balance process?",The remaining refund for the damaged item was processed today and will reflect in 2-4 business days.,CORRECT,english,refund,refund
login attempt failed bol raha even though password ekdam sahi hai boss,Caps Lock check karein ya 'Forgot Password' link use karke password reset kar lein.,CORRECT,hinglish,account,account
"I didn't mean to order this item, kindly cancel immediately",Your shipment has been packed and courier agent will arrive by 5 PM.,INTENT_MISMATCH,english,cancellation,delivery
