user_message,bot_response,label,language,user_topic,bot_topic,similarity_score
తప్పు సైజ్ ఉత్పత్తి వచ్చింది.,ఉత్పత్తి దెబ్బతిన్నట్లయితే రీప్లేస్‌మెంట్ కోరవచ్చు.,INTENT_MISMATCH,telugu,product,refund,0.6046
ఆర్డర్ రద్దు చేశాను కానీ ఇంకా షిప్ అయింది.,మీ పార్సెల్ ప్రస్తుతం రవాణాలో ఉంది మరియు త్వరలో చేరుతుంది.,INTENT_MISMATCH,telugu,cancellation,delivery,0.4278
రిఫండ్ మొత్తం పూర్తిగా రాలేదు.,మీ రిఫండ్ విజయవంతంగా ప్రాసెస్ చేయబడింది.,INTENT_MISMATCH,telugu,refund,refund,0.2233
యూపీఐ ద్వారా రెండు సార్లు డబ్బు కట్ అయింది.,"ఒక చెల్లింపు ఆటోమేటిక్‌గా తిరిగి జమ అవుతుంది, ఆర్డర్ స్థితి కూడా చూడండి.",INTENT_MISMATCH,telugu,payment,delivery,0.4954
నా రిఫండ్ స్థితి ఏమిటి?,"రిఫండ్ ఆమోదించబడింది, 5 పని రోజులలో ఖాతాలో జమ అవుతుంది.",CORRECT,telugu,refund,refund,0.1804
ఆర్డర్ ఇంకా డెలివరీ కాలేదు.,"క్షమించండి, పార్సెల్ సమీప హబ్‌లో ఉంది మరియు రేపటికి చేరుతుంది.",CORRECT,telugu,delivery,delivery,0.4562
చెల్లింపు విఫలమైంది కానీ డబ్బు కట్ అయింది.,ఆర్డర్ సృష్టించబడకపోతే మొత్తం ఆటోమేటిక్‌గా తిరిగి వస్తుంది.,CORRECT,telugu,payment,payment,0.2799
నేను అకౌంట్‌లో లాగిన్ అవ్వలేకపోతున్నాను.,'పాస్‌వర్డ్ మర్చిపోయారా' ఎంపికతో పాస్‌వర్డ్ రీసెట్ చేయండి.,CORRECT,telugu,account,account,0.1445
దెబ్బతిన్న ఉత్పత్తి వచ్చింది.,మీరు రీప్లేస్‌మెంట్ లేదా రిటర్న్ అభ్యర్థన పెట్టవచ్చు.,CORRECT,telugu,product,product,0.3972
ఈ ఆర్డర్ రద్దు చేయాలి.,ఆర్డర్ ఇంకా ప్యాక్ కాలేదు కాబట్టి విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation,0.5587
రిటర్న్ పికప్ ఎప్పుడు ఉంటుంది?,పికప్ వచ్చే 2 రోజుల్లో షెడ్యూల్ అవుతుంది మరియు మీకు సందేశం వస్తుంది.,CORRECT,telugu,refund,refund,0.6497
"నా రిఫండ్ ఇంకా రాలేదు, ఎప్పుడు వస్తుంది చివరికి?",మీ ఆర్డర్ రేపటికి డెలివరీ అవుతుంది.,INTENT_MISMATCH,telugu,refund,delivery,0.5658
3 రోజులు అయింది ఇంకా ఆర్డర్ షిప్ కూడా కాలేదు!,చెల్లింపు విఫలమైతే మొత్తం ఆటోమేటిక్‌గా తిరిగి వస్తుంది.,INTENT_MISMATCH,telugu,delivery,payment,0.2857
"నేను అకౌంట్‌లో లాగిన్ అవ్వలేకపోతున్నాను, ఎంత చెత్త యాప్ ఇది!",ఈ ఉత్పత్తి ప్రస్తుతం స్టాక్‌లో అందుబాటులో ఉంది.,INTENT_MISMATCH,telugu,account,product,0.3696
రెండు సార్లు డబ్బు కట్ అయ్యాయి కానీ ఎలాంటి స్పందన లేదు!,మీ చిరునామాను అకౌంట్ సెట్టింగ్స్‌లో మార్చుకోవచ్చు.,INTENT_MISMATCH,telugu,payment,account,0.1857
"నేను ఆర్డర్ రద్దు చేశాను కానీ ఇంకా పంపించారు, ఇది ఏమిటి?",మీ రిఫండ్ 5 పని రోజులలో ప్రాసెస్ అవుతుంది.,INTENT_MISMATCH,telugu,cancellation,refund,0.2559
వచ్చిన ఉత్పత్తి పూర్తిగా తప్పుగా ఉంది!,మీ పార్సెల్ ప్రస్తుతం సమీప హబ్‌లో ఉంది.,INTENT_MISMATCH,telugu,product,delivery,0.2339
"రిఫండ్ మొత్తం పూర్తిగా రాలేదు, ఇది మోసమా?",మీరు ఆర్డర్ రద్దు చేసి మళ్లీ ఆర్డర్ చేయవచ్చు.,INTENT_MISMATCH,telugu,refund,cancellation,0.4082
"డెలివరీ తేదీ మళ్లీ మళ్లీ మారుతోంది, ఇంకా ఎంత వేచి చూడాలి?",మీ అకౌంట్ విజయవంతంగా ధృవీకరించబడింది.,INTENT_MISMATCH,telugu,delivery,account,0.1326
"నా రిఫండ్ ఇంకా ప్రాసెస్ కాలేదు, చాలా ఇబ్బందిగా ఉంది.","క్షమించండి, మీ రిఫండ్ ప్రారంభించబడింది మరియు 3-5 రోజుల్లో జమ అవుతుంది.",CORRECT,telugu,refund,refund,0.5263
ఆర్డర్ డెలివరీ తేదీ దాటిపోయింది కానీ ఇంకా రాలేదు.,"క్షమించండి, మీ పార్సెల్ రవాణాలో ఉంది మరియు రేపటికి చేరుతుంది.",CORRECT,telugu,delivery,delivery,0.4881
చెల్లింపు విజయవంతమైంది కానీ ఆర్డర్ నిర్ధారణ కాలేదు.,ఆర్డర్ సృష్టించబడకపోతే మొత్తం ఆటోమేటిక్‌గా తిరిగి వస్తుంది.,CORRECT,telugu,payment,payment,0.2292
నేను పాస్‌వర్డ్ రీసెట్ చేస్తున్నాను కానీ ఓటీపీ రావడం లేదు.,మీ మొబైల్ నంబర్ సక్రియంగా ఉందో చూసి మళ్లీ ఓటీపీ పంపించండి.,CORRECT,telugu,account,account,0.508
"నాకు దెబ్బతిన్న ఉత్పత్తి వచ్చింది, చాలా నిరాశగా ఉంది.",మీరు రీప్లేస్‌మెంట్ లేదా రిటర్న్ అభ్యర్థన పెట్టవచ్చు.,CORRECT,telugu,product,product,0.3349
"ఇప్పుడు నాకు ఈ ఆర్డర్ వద్దు, వెంటనే రద్దు చేయండి.",ఆర్డర్ ఇంకా పంపించలేదు కాబట్టి విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation,0.4723
రిటర్న్ పికప్ ఎప్పుడు ఉంటుంది? ప్రతిరోజూ ఎదురు చూస్తున్నాను.,పికప్ వచ్చే 24-48 గంటల్లో షెడ్యూల్ అవుతుంది మరియు మీకు సందేశం వస్తుంది.,CORRECT,telugu,refund,refund,0.6165
రిఫండ్ వచ్చిందా,మీ ఆర్డర్ రేపటికి చేరుతుంది.,INTENT_MISMATCH,telugu,refund,delivery,0.5199
ఆర్డర్ ఎక్కడుంది,చెల్లింపు విఫలమైతే డబ్బు తిరిగి వస్తుంది.,INTENT_MISMATCH,telugu,delivery,payment,0.2724
డబ్బులు కట్ అయ్యాయి,మీ పాస్‌వర్డ్ మార్చి మళ్లీ లాగిన్ అవ్వండి.,INTENT_MISMATCH,telugu,payment,account,0.3517
లాగిన్ అవ్వడం లేదు,ఈ ఉత్పత్తి ప్రస్తుతం అందుబాటులో ఉంది.,INTENT_MISMATCH,telugu,account,product,0.3285
క్యాన్సిల్ చేయాలి,రిఫండ్ ప్రక్రియ ఇప్పటికే ప్రారంభమైంది.,INTENT_MISMATCH,telugu,cancellation,refund,0.5093
తప్పు వస్తువు వచ్చింది,మీ పార్సెల్ డెలివరీకి బయలుదేరింది.,INTENT_MISMATCH,telugu,product,delivery,0.6472
రిఫండ్ సగమే వచ్చింది,ఆర్డర్ విజయవంతంగా రద్దు చేయబడింది.,INTENT_MISMATCH,telugu,refund,cancellation,0.3741
రిఫండ్ ఎప్పటికి,రిఫండ్ 3-5 పని రోజులలో వస్తుంది.,CORRECT,telugu,refund,refund,0.3695
పార్సెల్ ఇంకా రాలేదు,"క్షమించండి, పార్సెల్ రవాణాలో ఉంది.",CORRECT,telugu,delivery,delivery,0.3758
యూపీఐ ఫెయిల్ డబ్బులు కట్ అయ్యాయి,ఆర్డర్ లేకపోతే మొత్తం తిరిగి జమ అవుతుంది.,CORRECT,telugu,payment,payment,0.3825
ఓటీపీ రావడం లేదు,దయచేసి ఓటీపీ మళ్లీ పంపించండి లేదా కొంతసేపటి తర్వాత ప్రయత్నించండి.,CORRECT,telugu,account,account,0.5004
తప్పు సైజ్ పంపించారు,మీరు రీప్లేస్‌మెంట్ అభ్యర్థన పెట్టవచ్చు.,CORRECT,telugu,product,product,0.4609
ఆర్డర్ క్యాన్సిల్ చేయండి,మీ ఆర్డర్ విజయవంతంగా రద్దు చేయబడింది.,CORRECT,telugu,cancellation,cancellation,0.4612
రిటర్న్ పికప్ ఎప్పుడు,పికప్ 2 రోజుల్లో షెడ్యూల్ అవుతుంది.,CORRECT,telugu,refund,refund,0.5176
డెలివరీ లేట్ అవుతోంది,పార్సెల్ సమీప హబ్‌లో ఉంది మరియు త్వరలో చేరుతుంది.,CORRECT,telugu,delivery,delivery,0.4585
Refund request petta kani amount inka raledu.,Mee return pickup already schedule ayyindi.,INTENT_MISMATCH,tinglish,refund,cancellation,0.2313
Delivery address tappuga update ayyindi ippudu em cheyyali?,Meeru order cancel chesi malli place cheyochu.,INTENT_MISMATCH,tinglish,delivery,cancellation,0.3753
Payment successful ani chupistundi kani confirmation raledu.,Mee email inbox mariyu spam folder check cheyyandi.,INTENT_MISMATCH,tinglish,payment,account,0.3264
Na account temporary ga block ayyindi.,Password reset link mee registered mail ki pampincham.,INTENT_MISMATCH,tinglish,account,account,0.4078
Wrong size product vachindi.,Product damage ayite replacement request raise cheyyachu.,INTENT_MISMATCH,tinglish,product,refund,0.4537
Order cancel chesa kani still ship ayyindi.,Mee parcel transit lo undi tondaralo reach avtundi.,INTENT_MISMATCH,tinglish,cancellation,delivery,0.2388
Refund amount full ga raledu.,Mee refund successful ga process chesam.,INTENT_MISMATCH,tinglish,refund,refund,0.6529
UPI payment rendu sarlu deduct ayyindi.,"Oka payment automatic ga reverse avtundi, order status kuda check cheyyandi.",INTENT_MISMATCH,tinglish,payment,delivery,0.5146
Na refund status enti?,"Refund approve ayyindi, 5 working days lo account lo padtundi.",CORRECT,tinglish,refund,refund,0.5457
Order inka deliver avvaledu.,"Sorry for delay, parcel nearest hub lo undi repatiki reach avtundi.",CORRECT,tinglish,delivery,delivery,0.443
Payment fail ayyindi kani money deduct ayyayi.,Order create kakapothe amount automatic ga reverse avtundi.,CORRECT,tinglish,payment,payment,0.332
Na account login avvatledu.,Forgot Password option use chesi password reset cheyyandi.,CORRECT,tinglish,account,account,0.4572
Damaged product vachindi.,Meeru replacement leka return request raise cheyyachu.,CORRECT,tinglish,product,product,0.2385
Ee order cancel cheyyali.,Order inka packed kaaledu kabatti successful ga cancel ayyindi.,CORRECT,tinglish,cancellation,cancellation,0.6647
Return pickup eppudu untundi?,Pickup next 2 rojullo schedule avtundi mariyu SMS update vastundi.,CORRECT,tinglish,refund,refund,0.4288
Na refund inka raledu asalu eppudu vastundi?,Mee order repatiki delivery avtundi sir.,INTENT_MISMATCH,tinglish,refund,delivery,0.4109
3 rojulu ayyindi order inka ship kuda kaaledu!,Payment fail ayite amount automatic ga reverse avtundi.,INTENT_MISMATCH,tinglish,delivery,payment,0.1868
Na account login avvatledu idi entha worst app ra!,Ee product ippudu stock lo available undi.,INTENT_MISMATCH,tinglish,account,product,0.3564
Rendu sarlu money deduct ayyayi kani reply evvaru ivvatledu!,Meeru address ni account settings lo update cheskovachu.,INTENT_MISMATCH,tinglish,payment,account,0.2073
Order cancel chesa kani malli ship chesaru idi enti?,Mee refund 5 working days lo process avtundi.,INTENT_MISMATCH,tinglish,cancellation,refund,0.3212
Vachina product totally wrong undi!,Mee parcel nearest hub lo undi.,INTENT_MISMATCH,tinglish,product,delivery,0.2327
Refund amount full ga raledu idi scam aa?,Meeru order cancel chesi malli place cheyochu.,INTENT_MISMATCH,tinglish,refund,cancellation,0.2796
Delivery date malli malli change avtundi inkentha wait cheyyali?,Mee account successful ga verify ayyindi.,INTENT_MISMATCH,tinglish,delivery,account,0.4087
Na refund inka process kaaledu chala irritating ga undi.,"Sorry for delay, refund initiate ayyindi mariyu 3-5 rojullo credit avtundi.",CORRECT,tinglish,refund,refund,0.4677
Expected date ayipoyindi kani order inka raledu.,"Sorry sir, parcel transit lo undi repatiki reach avtundi.",CORRECT,tinglish,delivery,delivery,0.3499
Payment successful kani order confirm kaaledu.,Order create kakapothe amount automatic ga reverse avtundi.,CORRECT,tinglish,payment,payment,0.4547
Password reset chestunna kani OTP raavatledu.,Mee registered mobile active ga undho check chesi OTP resend cheyyandi.,CORRECT,tinglish,account,account,0.479
Naaku damaged product vachindi chala bad experience.,Meeru replacement leka return request raise cheyyachu.,CORRECT,tinglish,product,product,0.3478
Ippudu naku ee order vaddu immediate ga cancel cheyyandi.,Order inka ship kaaledu kabatti successful ga cancel ayyindi.,CORRECT,tinglish,cancellation,cancellation,0.6681
Return pickup eppudu untundi roju wait chestunna.,Pickup next 24-48 hours lo schedule avtundi mariyu SMS update vastundi.,CORRECT,tinglish,refund,refund,0.5169
refund vachinda,Mee order repatiki reach avtundi.,INTENT_MISMATCH,tinglish,refund,delivery,0.4074
order ekkada undi,Payment fail ayite amount reverse avtundi.,INTENT_MISMATCH,tinglish,delivery,payment,0.2645
money cut ayyayi,Mee password reset chesi malli login avvandi.,INTENT_MISMATCH,tinglish,payment,account,0.1306
login avvatledu,Ee product ippudu available lo undi.,INTENT_MISMATCH,tinglish,account,product,0.3343
cancel cheyyali,Refund process already start ayyindi.,INTENT_MISMATCH,tinglish,cancellation,refund,0.2498
wrong item vachindi,Mee parcel out for delivery undi.,INTENT_MISMATCH,tinglish,product,delivery,0.4267
refund half vachindi,Order successful ga cancel ayyindi.,INTENT_MISMATCH,tinglish,refund,cancellation,0.3597
refund eppudu,Refund 3-5 working days lo padtundi.,CORRECT,tinglish,refund,refund,0.5766
parcel inka raledu,Sorry delay undi parcel transit lo undi.,CORRECT,tinglish,delivery,delivery,0.3518
upi fail money cut,Order create kakapothe amount reverse avtundi.,CORRECT,tinglish,payment,payment,0.2684
otp raavatledu,OTP resend cheyyandi leka konchem tarvata try cheyyandi.,CORRECT,tinglish,account,account,0.3024
wrong size pampincharu,Meeru replacement request raise cheyyachu.,CORRECT,tinglish,product,product,0.2438
order cancel cheyyi,Mee order successful ga cancel ayyindi.,CORRECT,tinglish,cancellation,cancellation,0.6736
return pickup eppudu,Pickup 2 rojullo schedule avtundi.,CORRECT,tinglish,refund,refund,0.6068
delivery late ra,Parcel nearest hub lo undi tondaralo vastundi.,CORRECT,tinglish,delivery,delivery,0.3103
நான் பணத்திருப்பு கேட்டேன் ஆனால் இன்னும் பணம் வரவில்லை.,உங்கள் ரிட்டர்ன் பிக்கப் ஏற்கனவே திட்டமிடப்பட்டுள்ளது.,INTENT_MISMATCH,tamil,refund,cancellation,-0.0466
"டெலிவரி முகவரி தவறாக மாற்றப்பட்டுள்ளது, இப்போது என்ன செய்வது?",நீங்கள் ஆர்டரை ரத்து செய்து புதியதாக ஆர்டர் செய்யலாம்.,INTENT_MISMATCH,tamil,delivery,cancellation,0.2947
பணம் வெற்றிகரமாக சென்றது என்று காட்டுகிறது ஆனால் உறுதிப்படுத்தல் வரவில்லை.,தயவுசெய்து உங்கள் மின்னஞ்சல் மற்றும் ஸ்பாம் கோப்புறையை பார்க்கவும்.,INTENT_MISMATCH,tamil,payment,account,0.0643
என் கணக்கு தற்காலிகமாக முடக்கப்பட்டுள்ளது.,கடவுச்சொல் மாற்ற இணைப்பு உங்கள் மின்னஞ்சலுக்கு அனுப்பப்பட்டுள்ளது.,INTENT_MISMATCH,tamil,account,account,0.3409
எனக்கு தவறான அளவிலான தயாரிப்பு வந்துள்ளது.,தயாரிப்பு சேதமடைந்திருந்தால் மாற்ற கோரிக்கை செய்யலாம்.,INTENT_MISMATCH,tamil,product,refund,0.4682
நான் ஆர்டரை ரத்து செய்தேன் ஆனால் அது இன்னும் அனுப்பப்பட்டுள்ளது.,உங்கள் பார்சல் தற்போது வழியில் உள்ளது மற்றும் விரைவில் வரும்.,INTENT_MISMATCH,tamil,cancellation,delivery,0.247
எனக்கு கிடைத்த பணத்திருப்பு முழுமையாக இல்லை.,உங்கள் பணத்திருப்பு வெற்றிகரமாக செயலாக்கப்பட்டது.,INTENT_MISMATCH,tamil,refund,refund,0.1361
யூபிஐ மூலம் இரண்டு முறை பணம் கழிக்கப்பட்டது.,"ஒரு தொகை தானாக திரும்ப வரும், ஆர்டர் நிலையும் சரிபார்க்கலாம்.",INTENT_MISMATCH,tamil,payment,delivery,0.4679
என் பணத்திருப்பு நிலை என்ன?,உங்கள் பணத்திருப்பு ஒப்புதல் பெறப்பட்டுள்ளது மற்றும் 5 வேலை நாட்களில் கிடைக்கும்.,CORRECT,tamil,refund,refund,0.2337
என் ஆர்டர் இன்னும் டெலிவரி ஆகவில்லை.,"தாமதத்திற்கு மன்னிக்கவும், உங்கள் பார்சல் அருகிலுள்ள மையத்தில் உள்ளது மற்றும் நாளைக்குள் வரும்.",CORRECT,tamil,delivery,delivery,0.4189
பணம் செலுத்துதல் தோல்வியடைந்தது ஆனால் பணம் கழிக்கப்பட்டது.,ஆர்டர் உருவாகவில்லை என்றால் தொகை தானாக திரும்ப வழங்கப்படும்.,CORRECT,tamil,payment,payment,0.5607
என்னால் கணக்கில் உள்நுழைய முடியவில்லை.,'கடவுச்சொல் மறந்துவிட்டதா' என்பதை பயன்படுத்தி கடவுச்சொல்லை மாற்றவும்.,CORRECT,tamil,account,account,0.2923
எனக்கு சேதமடைந்த தயாரிப்பு வந்துள்ளது.,நீங்கள் மாற்றம் அல்லது ரிட்டர்ன் கோரிக்கை செய்யலாம்.,CORRECT,tamil,product,product,0.3952
இந்த ஆர்டரை ரத்து செய்ய வேண்டும்.,"ஆர்டர் இன்னும் பேக் செய்யப்படவில்லை, அதனால் வெற்றிகரமாக ரத்து செய்யப்பட்டது.",CORRECT,tamil,cancellation,cancellation,0.5145
ரிட்டர்ன் பிக்கப் எப்போது வரும்?,பிக்கப் அடுத்த 2 நாட்களில் திட்டமிடப்படும் மற்றும் உங்களுக்கு குறுஞ்செய்தி வரும்.,CORRECT,tamil,refund,refund,0.6453
"என் பணத்திருப்பு இன்னும் வரவில்லை, எவ்வளவு நேரம் ஆகும்?",உங்கள் ஆர்டர் நாளைக்குள் டெலிவரி ஆகும்.,INTENT_MISMATCH,tamil,refund,delivery,0.4423
"3 நாட்கள் ஆகிவிட்டது, இன்னும் ஆர்டர் அனுப்பவே இல்லை!",பணம் செலுத்துதல் தோல்வியடைந்தால் தொகை தானாக திரும்ப வரும்.,INTENT_MISMATCH,tamil,delivery,payment,0.2206
"என்னால் கணக்கில் உள்நுழைய முடியவில்லை, இது என்ன மோசமான செயலி!",இந்த தயாரிப்பு தற்போது கையிருப்பில் உள்ளது.,INTENT_MISMATCH,tamil,account,product,0.3237
"என் பணம் இரண்டு முறை கழிக்கப்பட்டது, யாரும் பதில் தரவில்லை!",உங்கள் முகவரியை கணக்கு அமைப்புகளில் மாற்றலாம்.,INTENT_MISMATCH,tamil,payment,account,0.2262
நான் ஆர்டரை ரத்து செய்தேன் ஆனால் இன்னும் அனுப்பிவிட்டீர்கள்!,உங்கள் பணத்திருப்பு 5 வேலை நாட்களில் செயலாக்கப்படும்.,INTENT_MISMATCH,tamil,cancellation,refund,0.2162
எனக்கு வந்த தயாரிப்பு முற்றிலும் தவறானது!,உங்கள் பார்சல் தற்போது அருகிலுள்ள மையத்தில் உள்ளது.,INTENT_MISMATCH,tamil,product,delivery,0.2287
"எனக்கு முழு பணத்திருப்பும் வரவில்லை, இது என்ன மோசடி?",நீங்கள் ஆர்டரை ரத்து செய்து மறுபடியும் ஆர்டர் செய்யலாம்.,INTENT_MISMATCH,tamil,refund,cancellation,0.2582
"டெலிவரி தேதி மீண்டும் மீண்டும் மாறிக்கொண்டே இருக்கிறது, இன்னும் எவ்வளவு காத்திருக்க வேண்டும்?",உங்கள் கணக்கு வெற்றிகரமாக சரிபார்க்கப்பட்டுள்ளது.,INTENT_MISMATCH,tamil,delivery,account,0.1241
"என் பணத்திருப்பு இன்னும் செயல்படுத்தப்படவில்லை, மிகவும் எரிச்சலாக இருக்கிறது.","தாமதத்திற்கு மன்னிக்கவும், உங்கள் பணத்திருப்பு தொடங்கப்பட்டுள்ளது மற்றும் 3-5 நாட்களில் கிடைக்கும்.",CORRECT,tamil,refund,refund,0.504
டெலிவரி தேதி கடந்துவிட்டது ஆனால் ஆர்டர் இன்னும் வரவில்லை.,"மன்னிக்கவும், உங்கள் பார்சல் வழியில் உள்ளது மற்றும் நாளைக்குள் வரும்.",CORRECT,tamil,delivery,delivery,0.4288
பணம் வெற்றிகரமாக சென்றது ஆனால் ஆர்டர் உறுதிப்படுத்தப்படவில்லை.,ஆர்டர் உருவாகவில்லை என்றால் தொகை தானாக திரும்ப வழங்கப்படும்.,CORRECT,tamil,payment,payment,0.46
நான் கடவுச்சொல்லை மாற்ற முயற்சிக்கிறேன் ஆனால் OTP வரவில்லை.,உங்கள் மொபைல் எண் செயல்பாட்டில் உள்ளதா என்று பார்த்து OTP மீண்டும் அனுப்பவும்.,CORRECT,tamil,account,account,0.4876
"எனக்கு சேதமடைந்த தயாரிப்பு வந்துள்ளது, இது மிகவும் ஏமாற்றமாக உள்ளது.",நீங்கள் மாற்றம் அல்லது ரிட்டர்ன் கோரிக்கை செய்யலாம்.,CORRECT,tamil,product,product,0.317
"இப்போது இந்த ஆர்டர் வேண்டாம், உடனே ரத்து செய்யுங்கள்.","ஆர்டர் இன்னும் அனுப்பப்படவில்லை, அதனால் வெற்றிகரமாக ரத்து செய்யப்பட்டது.",CORRECT,tamil,cancellation,cancellation,0.4823
ரிட்டர்ன் பிக்கப் எப்போது வரும்? தினமும் காத்திருக்கிறேன்.,பிக்கப் அடுத்த 24-48 மணி நேரத்தில் திட்டமிடப்படும் மற்றும் உங்களுக்கு குறுஞ்செய்தி வரும்.,CORRECT,tamil,refund,refund,0.6076
ரிபண்ட் வந்துச்சா,உங்கள் ஆர்டர் நாளைக்கு வந்து சேரும்.,INTENT_MISMATCH,tamil,refund,delivery,0.5182
ஆர்டர் எங்க,பணம் செலுத்துதல் தோல்வியடைந்தால் தொகை திரும்ப வரும்.,INTENT_MISMATCH,tamil,delivery,payment,0.1117
பணம் கட் ஆயிடுச்சு,கடவுச்சொல்லை மாற்றி மீண்டும் உள்நுழையுங்கள்.,INTENT_MISMATCH,tamil,payment,account,0.2065
லாகின் ஆகல,இந்த தயாரிப்பு தற்போது கிடைக்கிறது.,INTENT_MISMATCH,tamil,account,product,0.445
கேன்சல் பண்ணணும்,பணத்திருப்பு செயல்முறை ஏற்கனவே தொடங்கியுள்ளது.,INTENT_MISMATCH,tamil,cancellation,refund,0.1638
தவறான பொருள் வந்துருக்கு,உங்கள் பார்சல் டெலிவரிக்காக கிளம்பியுள்ளது.,INTENT_MISMATCH,tamil,product,delivery,0.5332
ரிபண்ட் பாதிதான் வந்தது,உங்கள் ஆர்டர் வெற்றிகரமாக ரத்து செய்யப்பட்டது.,INTENT_MISMATCH,tamil,refund,cancellation,0.2885
ரிபண்ட் எப்போ,பணத்திருப்பு 3-5 வேலை நாட்களில் கிடைக்கும்.,CORRECT,tamil,refund,refund,0.1839
பார்சல் இன்னும் வரல,"தாமதத்திற்கு மன்னிக்கவும், பார்சல் இன்னும் வழியில் உள்ளது.",CORRECT,tamil,delivery,delivery,0.8162
யுபிஐ ஃபெயில் பணம் கட்,ஆர்டர் உருவாகவில்லை என்றால் தொகை திரும்ப வரும்.,CORRECT,tamil,payment,payment,0.3989
ஓடிபி வரல,தயவுசெய்து ஓடிபியை மீண்டும் அனுப்புங்கள் அல்லது பிறகு முயற்சிக்கவும்.,CORRECT,tamil,account,account,0.6881
தவறான சைஸ் அனுப்பிட்டாங்க,நீங்கள் மாற்ற கோரிக்கை பதிவு செய்யலாம்.,CORRECT,tamil,product,product,0.327
ஆர்டர் கேன்சல் பண்ணு,உங்கள் ஆர்டர் வெற்றிகரமாக ரத்து செய்யப்பட்டது.,CORRECT,tamil,cancellation,cancellation,0.271
ரிட்டர்ன் பிக்கப் எப்போ,பிக்கப் 2 நாட்களில் திட்டமிடப்படும்.,CORRECT,tamil,refund,refund,0.3898
டெலிவரி ரொம்ப லேட்,உங்கள் பார்சல் அருகிலுள்ள மையத்தில் உள்ளது மற்றும் விரைவில் வரும்.,CORRECT,tamil,delivery,delivery,0.4959
